Product Name,Component Type,Minimum Version,Last Update,SoftPaq #,SoftPaq Link
HP ProBook x360 11 G4 EE,BIOS,01.13.00,Rev 1,SP137091,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137091.exe
HP ProBook x360 440 G1,BIOS,01.19.00,Rev 1,SP136949,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136949.exe
HP ZBook 14u G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP ZBook 14u G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP ZBook 14u G6,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP ZBook 15 G4,BIOS,1.41,Rev 1,SP139818,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139818.exe
HP ZBook 15 G5,BIOS,01.19.00,Rev 1,SP137047,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137047.exe
HP ZBook 15 G6,BIOS,01.12.00,Rev 1,SP137057,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137057.exe
HP ZBook 15u G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP ZBook 15u G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP ZBook 15u G6,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP ZBook 17 G4,BIOS,1.41,Rev 1,SP139818,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139818.exe
HP ZBook 17 G5,BIOS,01.19.00,Rev 1,SP137047,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137047.exe
HP ZBook 17 G6,BIOS,01.12.00,Rev 1,SP137057,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137057.exe
HP ZBook Studio G4,BIOS,1.41,Rev 1,SP139821,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139821.exe
HP ZBook Studio G5,BIOS,01.19.00,Rev 1,SP137048,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137048.exe
HP ZBook Studio x360 G5,BIOS,01.19.00,Rev 1,SP137048,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137048.exe
HP ZBook x2 G4,BIOS,1.41,Rev 1,SP139737,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139737.exe
HP ZHAN 66 Pro 13 G2,BIOS,01.19.00,Rev 1,SP137159,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137159.exe
HP ZHAN 66 Pro 14 G2,BIOS,01.19.00,Rev 1,SP137159,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137159.exe
HP ZHAN 66 Pro 15 G2,BIOS,01.19.00,Rev 1,SP137159,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137159.exe
HP ZHAN 66 Pro G1,BIOS,01.20.00,Rev 1,SP139619,Pending
HP ZHAN X 13 G2,BIOS,01.12.00,Rev 1,SP137082,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137082.exe
HP Elite Slice for Meeting Rooms,BIOS,2.55,Rev 1,SP136953,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136953.exe
HP Elite Slice G2 - Audio Ready with Zoom Rooms,BIOS,2.55,Rev 1,SP136953,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136953.exe
HP Elite Slice G2 - Partner Ready with Microsoft Teams Rooms,BIOS,2.55,Rev 1,SP136953,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136953.exe
HP Elite Slice G2 with Microsoft Teams Rooms,BIOS,2.55,Rev 1,SP136953,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136953.exe
HP Elite Slice G2 with Intel Unite,BIOS,2.55,Rev 1,SP136953,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136953.exe
HP Elite Slice G2 with Zoom Rooms,BIOS,2.55,Rev 1,SP136953,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136953.exe
HP EliteDesk 705 G3 Desktop Mini PC,BIOS,2.38,Rev 1,SP139824,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139824.exe
HP EliteDesk 705 G3 Microtower PC,BIOS,2.38,Rev 1,SP139855,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139855.exe
HP EliteDesk 705 G3 Small Form Factor PC,BIOS,2.38,Rev 1,SP139855,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139855.exe
HP EliteDesk 705 G4 Desktop Mini PC,BIOS,02.17.00,Rev 1,SP136818,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136818.exe
HP EliteDesk 705 G4 Microtower PC,BIOS,02.17.00,Rev 1,SP137054,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137054.exe
HP EliteDesk 705 G4 Small Form Factor PC,BIOS,02.12.00,Rev 1,SP137069,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137069.exe
HP EliteDesk 705 G4 Workstation Edition,BIOS,02.17.00,Rev 1,SP137054,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137054.exe
HP EliteDesk 705 G5 Desktop Mini PC,BIOS,02.11.00,Rev 1,SP136520,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136520.exe
HP EliteDesk 705 G5 Small Form Factor PC,BIOS,02.11.00,Rev 1,SP136508,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136508.exe
HP EliteDesk 800 35W G3 Desktop Mini PC,BIOS,2.4,Rev 1,SP139781,Pending
HP EliteDesk 800 35W G4 Desktop Mini PC,BIOS,02.18.00,Rev 1,SP136969,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136969.exe
HP EliteDesk 800 65W G3 Desktop Mini PC,BIOS,2.4,Rev 1,SP139781,Pending
HP EliteDesk 800 65W G4 Desktop Mini PC,BIOS,02.18.00,Rev 1,SP136969,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136969.exe
HP EliteDesk 800 95W G4 Desktop Mini PC,BIOS,02.18.00,Rev 1,SP136969,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136969.exe
HP EliteDesk 800 G3 Small Form Factor PC,BIOS,2.4,Rev 1,SP139852,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139852.exe
HP EliteDesk 800 G3 Tower PC,BIOS,2.4,Rev 1,SP139852,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139852.exe
HP EliteDesk 800 G4 Small Form Factor PC,BIOS,02.17.00,Rev 1,SP136495,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136495.exe
HP EliteDesk 800 G4 Tower PC,BIOS,02.17.00,Rev 1,SP136495,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136495.exe
HP EliteDesk 800 G4 Workstation Edition,BIOS,02.17.00,Rev 1,SP136495,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136495.exe
HP EliteDesk 800 G5 Desktop Mini PC,BIOS,02.11.00,Rev 1,SP136572,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136572.exe
HP EliteDesk 800 G5 Small Form Factor PC,BIOS,02.11.00,Rev 1,SP136499,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136499.exe
HP EliteDesk 800 G5 Tower PC,BIOS,02.11.00,Rev 1,SP136499,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136499.exe
HP EliteDesk 880 G3 Tower PC,BIOS,2.4,Rev 1,SP139852,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139852.exe
HP EliteDesk 880 G4 Tower PC,BIOS,02.17.00,Rev 1,SP136495,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136495.exe
HP EliteDesk 880 G5 Tower PC,BIOS,02.11.00,Rev 1,SP136499,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136499.exe
HP EliteOne 1000 G1 23.8-in All-in-One Business PC,BIOS,2.4,Rev 1,SP139698,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139698.exe
HP EliteOne 1000 G1 23.8-in Touch All-in-One Business PC,BIOS,2.4,Rev 1,SP139698,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139698.exe
HP EliteOne 1000 G1 27-in 4K UHD All-in-One Business PC,BIOS,2.4,Rev 1,SP139698,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139698.exe
HP EliteOne 1000 G1 34-in Curved All-in-One Business PC,BIOS,2.4,Rev 1,SP139698,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139698.exe
HP EliteOne 1000 G2 23.8-in All-in-One Business PC,BIOS,02.18.00,Rev 1,SP136988,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136988.exe
HP EliteOne 1000 G2 23.8-in Touch All-in-One Business PC,BIOS,02.18.00,Rev 1,SP136988,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136988.exe
HP EliteOne 1000 G2 27-in 4K UHD All-in-One Business PC,BIOS,02.18.00,Rev 1,SP136988,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136988.exe
HP EliteOne 1000 G2 34-in Curved All-in-One Business PC,BIOS,02.18.00,Rev 1,SP136988,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136988.exe
HP EliteOne 800 G3 23.8 Non-Touch Healthcare Edition All-in-One Business PC,BIOS,2.4,Rev 1,SP139797,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139797.exe
HP EliteOne 800 G3 23.8-inch Non-Touch All-in-One PC,BIOS,2.4,Rev 1,SP139797,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139797.exe
HP EliteOne 800 G3 23.8-inch Non-Touch GPU All-in-One PC,BIOS,2.4,Rev 1,SP139797,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139797.exe
HP EliteOne 800 G3 23.8-inch Touch All-in-One PC,BIOS,2.4,Rev 1,SP139797,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139797.exe
HP EliteOne 800 G3 23.8-inch Touch GPU All-in-One PC,BIOS,2.4,Rev 1,SP139797,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139797.exe
HP EliteOne 800 G4 23.8-in Healthcare Edition All-in-One Business PC,BIOS,02.18.00,Rev 1,SP137015,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137015.exe
HP EliteOne 800 G4 23.8-inch Non-Touch All-in-One PC,BIOS,02.18.00,Rev 1,SP137015,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137015.exe
HP EliteOne 800 G4 23.8-inch Non-Touch GPU All-in-One PC,BIOS,02.18.00,Rev 1,SP137015,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137015.exe
HP EliteOne 800 G4 23.8-inch Touch All-in-One PC,BIOS,02.18.00,Rev 1,SP137015,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137015.exe
